PaisDestino,Cacao,Algodón,Flores,Café
Japon,1328951,2050868,48022970,243893632
Corea,999551,148103,0,90731584
Australia,118251,453925,5779107,31171771
Malasia,5018550,168245,0,15166636
Taiwan,33672,476161,624080,9002435
China,0,1255045,347966,5736755
Nueva Zelandia,0,58885,716195,6306748
Hong Kong,8455,2226635,31720,751357
Singapur,0,325203,125655,1536458
India,701710,431822,72509,80532
Camboya,0,1258778,0,0
Norfolk, Islas,0,0,0,1005636
Korea,0,0,792002,0
Kazajstan,0,0,678721,0
Tailandia,0,557947,0,10646
Vietnam,0,337161,0,135741
Sri Lanka,0,241990,0,0
Filipinas,0,196262,32976,0
Indonesia,19,57936,0,126274
Georgia,0,0,0,145101
